This file was created by CMPT_IND_RETS using the 202312 CRSP database.
It contains value- and equal-weighted returns for 10 industry portfolios.

The portfolios are constructed at the end of June.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
195408,     55.51,    154.41,    118.47,    390.85,    196.65,    962.61,     72.48,     82.87,    163.03,     62.11
195409,     53.66,    147.40,    113.22,    388.79,    186.94,    947.57,     71.86,     80.36,    159.54,     60.35
195410,     55.48,    170.67,    120.78,    427.41,    197.97,    960.15,     75.17,     82.36,    162.05,     63.07
195411,     54.19,    169.36,    119.28,    425.43,    193.98,    952.03,     73.15,     80.88,    155.34,     63.22
195412,     57.05,    173.54,    134.25,    455.48,    218.75,    984.41,     78.63,     90.36,    163.40,     69.71
195501,     59.24,    186.04,    142.69,    484.61,    224.26,    987.70,     79.90,     95.59,    167.75,     75.84
195502,     59.90,    187.05,    142.83,    486.40,    232.08,    995.61,     81.16,     92.69,    169.71,     76.40
195503,     60.40,    183.27,    148.68,    494.40,    241.93,   1035.16,     81.76,     94.93,    175.34,     78.87
195504,     59.63,    183.25,    148.86,    492.82,    238.03,   1020.88,     80.35,    104.87,    173.27,     79.69
195505,     62.00,    193.64,    155.15,    500.50,    255.68,   1040.99,     81.71,    104.73,    177.07,     82.84
195506,     61.46,    189.60,    158.94,    493.38,    255.27,   1053.98,     83.69,    107.62,    176.04,     83.76
195507,     65.04,    215.49,    173.49,    546.55,    254.41,   1186.74,     87.50,    107.44,    180.10,     85.61
195508,     66.31,    257.73,    171.70,    571.04,    247.43,   1217.72,     89.16,    107.43,    186.25,     84.84
195509,     65.49,    247.00,    176.32,    570.17,    248.96,   1186.11,     90.11,    107.14,    185.61,     84.87
195510,     64.18,    274.11,    174.73,    573.94,    237.34,   1186.21,     93.00,    103.47,    179.98,     82.28
195511,     63.56,    260.45,    169.22,    567.72,    225.06,   1172.61,     90.55,    104.16,    177.65,     80.04
195512,     65.31,    284.02,    181.70,    610.47,    247.01,   1190.98,     96.62,    109.84,    182.82,     85.81
195601,     66.07,    276.46,    186.53,    632.79,    257.53,   1187.20,     95.41,    116.35,    181.91,     84.84
195602,     64.98,    257.83,    177.77,    635.05,    244.12,   1209.35,     92.08,    108.58,    180.77,     82.36
195603,     65.24,    269.39,    185.45,    659.67,    258.81,   1211.13,     94.15,    117.02,    183.38,     84.65
195604,     66.09,    279.36,    199.41,    734.75,    284.63,   1214.00,     94.28,    125.23,    189.65,     89.18
195605,     67.33,    264.92,    201.22,    761.17,    284.88,   1203.31,     92.42,    128.50,    184.95,     89.84
195606,     64.73,    250.29,    188.13,    707.94,    269.17,   1189.98,     87.66,    126.40,    182.77,     85.27
195607,     66.07,    288.24,    197.28,    721.34,    291.91,   1176.89,     89.22,    133.25,    191.08,     88.06
195608,     67.48,    300.71,    208.97,    773.57,    307.32,   1208.04,     93.16,    137.18,    200.52,     90.34
195609,     66.13,    300.12,    202.08,    728.52,    295.67,   1189.30,     90.18,    132.39,    194.70,     87.14
195610,     63.66,    296.40,    189.89,    698.00,    274.17,   1143.06,     85.96,    127.21,    186.51,     82.97
195611,     64.13,    293.30,    191.59,    700.12,    283.08,   1127.04,     86.96,    127.75,    187.85,     83.69
195612,     63.34,    280.20,    188.73,    731.68,    284.25,   1143.24,     84.55,    125.03,    187.74,     83.14
195701,     63.82,    282.95,    198.81,    774.03,    295.35,   1158.21,     83.75,    131.95,    190.43,     84.26
195702,     64.86,    265.26,    186.85,    740.98,    278.68,   1191.77,     82.55,    128.82,    194.75,     83.58
195703,     63.45,    257.31,    180.68,    719.67,    276.46,   1195.45,     81.21,    127.81,    193.29,     80.97
195704,     64.18,    263.11,    183.93,    742.08,    288.04,   1198.76,     82.61,    137.97,    195.79,     82.44
195705,     65.40,    288.74,    190.89,    792.60,    312.21,   1204.03,     82.61,    145.24,    201.47,     84.91
195706,     65.88,    293.96,    196.83,    848.26,    329.54,   1215.84,     84.16,    151.46,    205.00,     85.52
195707,     65.56,    286.83,    198.21,    824.97,    305.56,   1316.53,     84.14,    163.80,    202.19,     83.28
195708,     66.52,    297.16,    199.24,    831.99,    314.08,   1313.35,     86.42,    167.85,    201.52,     84.06
195709,     64.79,    284.97,    186.27,    779.96,    291.23,   1309.41,     83.53,    162.07,    195.42,     79.23
195710,     63.77,    264.59,    173.07,    717.34,    271.62,   1400.02,     84.57,    156.90,    191.17,     73.66
195711,     62.28,    254.03,    164.55,    674.28,    271.22,   1370.59,     81.09,    155.54,    189.21,     68.43
195712,     63.85,    237.50,    169.43,    685.16,    288.15,   1389.78,     81.83,    167.68,    196.46,     68.13
195801,     63.77,    218.55,    162.03,    636.86,    277.26,   1389.48,     79.98,    165.87,    200.66,     64.63
195802,     68.44,    229.29,    170.58,    646.10,    288.42,   1448.63,     86.71,    165.08,    212.52,     71.60
195803,     69.76,    222.98,    166.93,    611.63,    282.97,   1457.71,     88.32,    172.52,    214.33,     70.32
195804,     72.31,    229.41,    169.12,    659.66,    289.24,   1456.08,     91.66,    186.23,    217.64,     71.74
195805,     75.29,    240.70,    171.37,    692.88,    288.90,   1495.44,     94.16,    198.12,    227.99,     74.83
195806,     76.91,    253.63,    176.82,    698.50,    292.70,   1525.84,     97.07,    200.30,    230.33,     77.23
195807,     79.77,    281.40,    180.72,    741.88,    286.40,   1602.88,    100.86,    201.85,    237.57,     77.22
195808,     81.01,    309.35,    196.16,    745.79,    297.09,   1617.29,    102.51,    213.63,    239.52,     80.44
195809,     82.97,    306.25,    200.58,    755.60,    302.76,   1654.94,    107.83,    217.15,    236.10,     82.61
195810,     86.16,    336.86,    209.52,    779.94,    320.26,   1719.64,    111.87,    242.23,    243.38,     86.87
195811,     88.20,    344.42,    215.57,    788.87,    334.62,   1744.77,    112.98,    244.55,    253.19,     89.94
195812,     91.26,    354.08,    221.39,    798.91,    348.64,   1778.45,    118.94,    262.76,    259.54,     93.67
195901,     93.34,    363.60,    232.52,    808.47,    392.86,   1998.25,    125.33,    273.91,    274.08,     96.13
195902,     96.79,    359.53,    234.20,    811.70,    384.09,   2076.29,    131.93,    272.12,    276.78,     98.02
195903,     99.20,    349.32,    242.21,    746.71,    406.00,   2176.43,    136.47,    281.72,    279.26,    100.22
195904,     99.13,    344.97,    241.82,    762.26,    414.29,   2147.50,    133.88,    293.38,    282.83,    100.26
195905,    102.00,    377.24,    251.62,    774.67,    449.24,   2246.95,    135.68,    327.99,    278.96,    102.11
195906,    102.89,    393.41,    260.74,    762.14,    470.47,   2222.19,    138.80,    323.64,    274.91,    102.92
195907,    105.82,    400.96,    264.06,    797.73,    434.32,   2132.12,    150.41,    348.12,    269.62,    100.90
195908,    109.63,    434.61,    273.63,    836.36,    436.23,   2144.84,    153.26,    364.37,    279.22,    101.57
195909,    108.71,    441.65,    267.38,    804.75,    424.75,   2156.57,    153.92,    350.51,    281.99,     98.85
195910,    105.24,    421.85,    253.67,    748.74,    411.21,   2115.51,    150.35,    332.63,    268.70,     94.45
195911,    109.08,    416.43,    257.47,    756.32,    431.67,   2142.93,    151.33,    340.10,    270.35,     94.56
195912,    109.80,    412.35,    261.70,    746.73,    477.66,   2115.14,    154.03,    357.78,    270.32,     93.10
196001,    110.80,    433.16,    266.87,    777.80,    499.45,   2185.96,    157.92,    350.70,    275.20,     94.62
196002,    106.97,    384.66,    244.25,    718.60,    450.43,   2206.55,    148.47,    328.22,    268.73,     90.76
196003,    110.03,    372.78,    244.26,    688.32,    473.83,   2386.99,    154.12,    328.33,    275.25,     90.33
196004,    108.72,    356.16,    235.73,    682.29,    480.22,   2372.57,    154.04,    332.88,    278.95,     88.38
196005,    110.26,    350.49,    228.37,    652.50,    490.02,   2347.72,    153.24,    338.23,    282.03,     87.27
196006,    116.88,    344.58,    236.01,    624.06,    536.11,   2424.23,    157.45,    383.70,    285.12,     86.96
196007,    123.63,    352.28,    234.73,    652.72,    495.82,   2495.90,    155.01,    374.20,    303.97,     91.08
196008,    122.32,    349.89,    224.78,    656.64,    474.96,   2498.29,    151.75,    359.46,    299.94,     89.63
196009,    127.26,    358.59,    227.32,    677.24,    479.56,   2674.13,    155.82,    367.40,    314.79,     91.85
196010,    124.98,    338.01,    210.99,    670.35,    436.82,   2495.17,    142.53,    334.88,    299.80,     86.82
196011,    127.71,    333.11,    208.71,    685.31,    422.57,   2498.68,    142.52,    322.90,    298.05,     86.38
196012,    139.00,    327.56,    217.34,    702.02,    451.12,   2601.67,    151.62,    334.53,    307.80,     91.57
196101,    146.53,    325.84,    226.19,    739.12,    463.85,   2904.70,    154.86,    369.18,    326.52,     95.01
196102,    157.53,    352.70,    241.00,    809.95,    477.12,   3133.80,    158.86,    391.33,    341.82,    102.80
196103,    167.36,    363.27,    251.95,    824.93,    489.50,   3155.65,    166.17,    410.72,    353.06,    108.14
196104,    176.07,    375.52,    255.58,    851.32,    501.87,   3369.27,    175.63,    425.80,    359.19,    111.68
196105,    173.54,    368.83,    251.97,    891.54,    504.24,   3396.07,    176.33,    424.22,    364.97,    112.20
196106,    179.28,    370.17,    262.27,    885.90,    517.84,   3359.13,    184.54,    432.90,    372.47,    116.98
196107,    175.48,    361.89,    251.07,    851.87,    474.92,   3419.20,    179.93,    411.58,    365.14,    112.60
196108,    181.38,    384.06,    257.65,    871.02,    483.39,   3639.16,    183.93,    425.68,    374.90,    115.17
196109,    190.00,    393.06,    262.68,    865.40,    504.28,   3623.85,    189.32,    441.11,    387.80,    120.74
196110,    189.73,    411.26,    251.29,    809.69,    504.49,   3521.85,    190.13,    435.24,    392.43,    118.28
196111,    195.92,    413.19,    250.47,    860.83,    521.45,   3916.45,    206.99,    450.78,    412.28,    121.30
196112,    205.88,    446.90,    256.32,    911.72,    541.25,   4224.60,    216.70,    463.38,    425.12,    125.93
196201,    199.83,    459.55,    257.12,    946.33,    536.60,   4360.93,    215.69,    453.68,    406.33,    123.20
196202,    188.63,    458.34,    248.05,    961.35,    509.93,   4096.13,    196.59,    431.45,    394.83,    121.30
196203,    188.46,    448.25,    250.36,   1007.81,    509.01,   4238.72,    199.21,    446.69,    404.01,    122.85
196204,    186.02,    449.88,    250.86,   1007.56,    509.15,   4110.11,    200.80,    448.02,    411.04,    120.96
196205,    173.28,    426.29,    230.72,    990.73,    452.86,   3917.57,    193.16,    396.94,    398.74,    112.27
196206,    153.03,    403.96,    210.48,    952.22,    406.12,   3612.52,    174.91,    353.09,    358.43,    102.95
196207,    140.59,    374.22,    181.22,    805.71,    335.48,   2570.08,    151.76,    312.24,    345.36,     96.38
196208,    147.78,    403.85,    190.53,    843.87,    373.36,   2755.94,    157.98,    336.17,    370.10,    101.75
196209,    148.43,    415.94,    194.18,    852.73,    385.16,   2780.12,    164.17,    308.54,    380.45,    105.17
196210,    139.51,    406.63,    182.61,    837.38,    350.22,   2608.08,    153.09,    295.47,    368.77,     98.85
196211,    135.68,    416.19,    185.44,    831.90,    349.69,   2680.38,    150.61,    302.34,    363.66,     99.21
196212,    151.25,    435.19,    209.09,    914.75,    399.65,   2852.83,    166.61,    354.01,    389.88,    113.27
196301,    153.10,    450.36,    206.48,    957.18,    397.98,   2879.81,    166.46,    356.42,    402.41,    115.07
196302,    162.02,    484.15,    218.75,    980.39,    420.37,   2998.78,    172.73,    376.21,    422.53,    120.95
196303,    156.38,    466.81,    212.03,    961.81,    398.21,   2946.60,    172.48,    365.42,    414.97,    119.89
196304,    160.02,    499.72,    218.31,   1028.26,    408.29,   2999.80,    175.64,    369.24,    421.49,    123.90
196305,    163.66,    537.75,    228.49,   1110.44,    439.40,   3111.61,    186.74,    396.86,    430.45,    131.84
196306,    166.01,    574.66,    232.13,   1100.74,    461.91,   3069.68,    190.95,    394.80,    433.52,    136.00
196307,    101.21,    337.78,    152.48,    522.58,    181.95,   1700.77,     97.80,    318.47,    388.72,     78.07
196308,    100.99,    337.30,    150.42,    533.67,    180.68,   1696.57,     96.57,    319.97,    390.75,     77.52
196309,    106.23,    357.79,    159.39,    551.28,    189.50,   1758.10,    102.47,    349.45,    413.47,     81.44
196310,    104.58,    356.38,    158.14,    535.28,    189.71,   1797.45,    103.31,    334.86,    402.25,     79.18
196311,    107.66,    394.32,    162.09,    534.36,    205.42,   1859.00,    103.63,    345.88,    398.41,     80.27
196312,    106.38,    371.23,    162.63,    528.37,    204.33,   1925.33,    102.41,    338.74,    395.37,     80.25
196401,    109.10,    375.91,    166.52,    552.86,    210.30,   1920.98,    103.14,    343.34,    406.48,     82.11
196402,    109.85,    380.25,    171.13,    579.04,    216.42,   1984.80,    105.46,    355.87,    411.20,     82.99
196403,    112.22,    384.43,    175.69,    581.47,    220.15,   1967.55,    106.84,    360.58,    413.37,     87.30
196404,    115.39,    387.98,    182.37,    589.29,    227.40,   2038.85,    109.89,    353.09,    409.27,     89.54
196405,    115.19,    394.69,    180.09,    612.68,    220.78,   2055.78,    113.89,    347.79,    412.56,     89.92
196406,    116.98,    397.41,    182.99,    627.18,    226.25,   2035.61,    117.99,    348.49,    414.63,     91.69
196407,    113.50,    380.29,    179.78,    617.83,    209.62,   2108.33,    115.32,    359.61,    414.59,     91.26
196408,    115.37,    401.46,    182.22,    637.79,    205.78,   2065.94,    115.87,    376.45,    433.98,     92.05
196409,    115.01,    405.13,    180.48,    621.93,    199.56,   2021.59,    116.20,    359.31,    432.52,     89.11
196410,    116.65,    423.31,    189.18,    644.55,    201.66,   1997.73,    120.12,    368.72,    439.55,     92.25
196411,    116.32,    426.86,    190.09,    668.94,    199.62,   1979.87,    122.69,    378.99,    442.76,     93.91
196412,    117.05,    420.47,    188.47,    687.11,    201.37,   1923.79,    126.18,    385.53,    447.34,     92.00
196501,    117.05,    427.74,    187.56,    696.66,    202.28,   1980.73,    126.49,    401.60,    448.44,     90.36
196502,    124.46,    447.58,    197.97,    702.43,    217.34,   1985.72,    131.20,    432.06,    465.20,     94.59
196503,    126.23,    442.94,    202.83,    674.45,    225.88,   1989.19,    132.69,    441.17,    465.87,     97.50
196504,    124.91,    451.61,    200.84,    653.67,    224.58,   1953.01,    132.06,    436.59,    462.21,     96.88
196505,    130.04,    481.93,    209.48,    658.80,    236.07,   1998.53,    141.54,    449.17,    464.22,     99.87
196506,    128.35,    462.05,    207.67,    665.49,    236.53,   2041.09,    141.42,    442.18,    458.22,     98.30
196507,    119.87,    420.89,    184.85,    645.01,    210.61,   1781.35,    125.01,    416.56,    437.21,     91.37
196508,    121.64,    430.50,    188.57,    661.77,    219.49,   1774.73,    123.60,    432.63,    440.86,     94.56
196509,    126.50,    442.71,    195.46,    667.41,    233.24,   1787.09,    127.85,    458.43,    443.39,     99.30
196510,    127.20,    481.53,    203.32,    696.19,    245.27,   1804.02,    127.92,    468.32,    448.41,    101.10
196511,    130.36,    510.80,    212.43,    708.08,    257.99,   1763.02,    127.99,    483.02,    452.10,    103.87
196512,    132.49,    485.41,    214.90,    707.35,    266.17,   1674.72,    129.22,    499.01,    445.90,    107.69
196601,    134.35,    491.77,    222.15,    709.28,    263.48,   1657.87,    131.38,    529.68,    443.41,    111.70
196602,    137.74,    494.50,    230.21,    716.21,    266.98,   1636.33,    125.37,    543.53,    429.05,    118.02
196603,    136.57,    484.49,    227.98,    686.58,    279.72,   1632.20,    123.20,    533.51,    409.58,    120.10
196604,    133.43,    469.39,    224.05,    676.63,    276.94,   1550.03,    120.88,    524.40,    407.67,    116.75
196605,    134.71,    469.83,    230.88,    703.28,    299.70,   1569.69,    125.92,    523.90,    411.44,    120.43
196606,    128.15,    429.55,    217.39,    677.79,    280.83,   1509.87,    122.38,    494.64,    398.57,    110.91
196607,    120.25,    420.99,    209.28,    652.94,    270.38,   1483.27,    112.97,    497.65,    386.22,    111.56
196608,    118.70,    409.81,    206.08,    655.00,    267.39,   1466.08,    110.51,    488.79,    384.50,    110.23
196609,    109.80,    376.03,    188.91,    607.17,    250.87,   1386.62,    103.04,    447.32,    349.80,     96.93
196610,    107.83,    371.70,    182.53,    636.48,    245.82,   1376.14,    101.28,    441.84,    363.89,     95.05
196611,    112.57,    375.65,    187.71,    689.81,    246.45,   1502.40,    100.67,    463.01,    399.05,     98.21
196612,    115.38,    358.44,    192.19,    675.49,    274.18,   1447.77,    101.24,    492.32,    391.76,    106.34
196701,    115.33,    350.99,    194.79,    670.86,    275.16,   1487.84,     96.87,    491.35,    398.70,    108.95
196702,    126.49,    392.03,    217.05,    693.05,    303.26,   1580.61,    107.97,    522.47,    408.96,    122.07
196703,    128.49,    385.03,    218.98,    694.53,    324.64,   1602.09,    111.99,    527.82,    400.32,    121.25
196704,    134.56,    399.10,    231.60,    719.10,    345.10,   1646.78,    114.46,    568.91,    405.16,    127.00
196705,    141.33,    446.75,    240.75,    736.80,    373.42,   1704.85,    125.37,    593.89,    411.74,    129.36
196706,    137.00,    417.44,    231.68,    712.64,    356.34,   1595.64,    119.08,    560.48,    392.98,    126.80
196707,    139.18,    399.99,    227.87,    724.54,    359.00,   1616.00,    120.86,    586.44,    384.26,    132.73
196708,    147.64,    447.75,    239.91,    781.61,    373.25,   1509.68,    127.86,    608.32,    392.18,    143.76
196709,    146.34,    449.72,    240.33,    763.97,    370.28,   1478.64,    127.36,    610.20,    387.87,    142.53
196710,    151.35,    471.45,    248.61,    791.22,    403.17,   1612.60,    130.70,    627.54,    386.28,    142.33
196711,    148.22,    454.08,    237.82,    782.26,    422.81,   1623.41,    131.88,    595.61,    364.22,    135.16
196712,    148.18,    445.91,    239.56,    786.75,    430.70,   1609.62,    133.10,    616.29,    374.00,    133.73
196801,    152.97,    449.19,    254.58,    817.12,    441.71,   1680.17,    138.13,    634.43,    388.53,    141.25
196802,    151.87,    429.04,    238.79,    807.08,    405.05,   1725.04,    139.94,    592.27,    387.91,    137.29
196803,    148.33,    415.66,    227.94,    781.03,    385.65,   1667.68,    138.69,    565.21,    380.45,    132.29
196804,    149.00,    418.25,    230.02,    789.84,    401.71,   1645.41,    143.17,    565.21,    358.62,    132.57
196805,    166.45,    470.66,    255.76,    833.25,    451.63,   1681.83,    160.43,    631.98,    365.94,    148.28
196806,    176.52,    465.15,    265.06,    862.37,    469.55,   1653.89,    166.95,    651.09,    365.95,    157.76
196807,    174.37,    444.39,    258.14,    874.33,    419.82,   1542.09,    163.00,    625.43,    392.16,    165.12
196808,    167.68,    430.87,    248.21,    918.69,    396.41,   1538.93,    154.40,    599.42,    391.64,    158.97
196809,    171.96,    433.43,    256.18,    924.73,    399.68,   1543.21,    157.40,    601.09,    386.53,    158.52
196810,    180.24,    465.24,    269.68,    957.43,    412.91,   1587.37,    170.89,    606.01,    386.21,    173.05
196811,    181.55,    489.24,    272.69,    978.81,    394.30,   1637.63,    173.22,    605.38,    386.76,    175.05
196812,    189.22,    484.44,    289.72,   1039.03,    427.90,   1712.04,    181.45,    652.35,    419.00,    188.64
196901,    186.90,    465.11,    280.83,   1012.08,    404.76,   1594.77,    177.33,    644.73,    405.49,    182.51
196902,    185.09,    460.62,    281.07,    999.14,    387.86,   1613.34,    175.28,    642.85,    414.19,    183.64
196903,    172.31,    444.72,    264.33,    938.71,    374.75,   1544.60,    168.24,    607.74,    390.77,    168.88
196904,    174.92,    467.24,    270.97,   1004.97,    396.98,   1588.79,    176.56,    627.39,    384.40,    170.34
196905,    176.57,    472.49,    274.61,    999.66,    412.57,   1711.62,    183.89,    658.00,    388.17,    171.12
196906,    178.78,    474.34,    271.58,   1027.73,    404.62,   1715.59,    184.38,    667.04,    386.50,    169.16
196907,    158.91,    414.63,    246.43,    927.21,    372.49,   1553.30,    164.73,    595.72,    359.17,    179.33
196908,    147.78,    387.09,    233.20,    836.38,    355.11,   1483.46,    150.58,    579.00,    347.21,    163.09
196909,    155.06,    395.19,    242.19,    885.50,    379.05,   1492.93,    162.82,    630.89,    341.05,    176.99
196910,    155.04,    394.28,    237.19,    799.63,    381.39,   1431.61,    161.58,    643.55,    325.56,    175.38
196911,    167.70,    411.70,    253.33,    803.10,    404.90,   1481.71,    172.18,    700.85,    351.15,    189.61
196912,    163.83,    392.19,    243.97,    762.34,    400.10,   1484.85,    165.62,    701.13,    330.98,    178.56
197001,    160.26,    378.06,    240.63,    738.69,    396.93,   1399.47,    161.64,    730.42,    327.49,    171.46
197002,    153.75,    346.48,    222.95,    651.58,    360.93,   1363.53,    151.88,    678.05,    312.47,    156.15
197003,    160.39,    363.18,    233.33,    681.32,    370.43,   1457.67,    159.36,    713.84,    336.79,    170.70
197004,    158.69,    380.20,    232.98,    677.55,    364.30,   1487.44,    156.46,    677.02,    345.09,    167.97
197005,    142.45,    348.89,    213.14,    614.68,    312.01,   1356.65,    139.51,    608.34,    316.10,    144.79
197006,    132.18,    323.82,    196.11,    630.18,    281.52,   1291.29,    126.88,    558.94,    297.33,    132.92
197007,    123.54,    290.10,    181.85,    582.41,    250.25,   1129.25,    115.96,    525.38,    284.62,    120.18
197008,    131.53,    322.68,    191.38,    654.57,    256.70,   1245.09,    127.48,    536.43,    308.18,    130.11
197009,    132.97,    346.81,    199.15,    692.20,    279.68,   1305.86,    133.88,    544.27,    320.60,    136.63
197010,    139.88,    355.47,    207.22,    720.37,    307.91,   1290.03,    144.36,    587.35,    317.57,    146.63
197011,    140.63,    350.49,    200.58,    738.20,    297.88,   1241.69,    142.18,    591.34,    313.64,    138.06
197012,    146.26,    372.45,    208.69,    777.02,    311.12,   1302.91,    152.50,    606.97,    341.11,    143.26
197101,    157.74,    394.78,    225.40,    794.35,    324.59,   1388.75,    161.52,    640.77,    364.24,    154.98
197102,    165.76,    409.70,    238.74,    801.81,    342.06,   1524.46,    175.31,    672.24,    373.66,    167.25
197103,    171.91,    416.41,    240.68,    842.96,    352.28,   1429.27,    181.73,    679.39,    362.24,    171.43
197104,    179.66,    430.07,    251.20,    865.50,    384.21,   1435.74,    194.64,    703.77,    369.29,    181.20
197105,    183.97,    466.16,    263.00,    901.58,    397.11,   1500.33,    204.08,    733.12,    354.96,    189.98
197106,    178.33,    443.91,    256.86,    852.35,    375.46,   1407.12,    199.95,    715.75,    339.86,    177.95
197107,    178.71,    432.87,    254.74,    833.97,    362.89,   1312.52,    191.67,    717.02,    356.03,    169.36
197108,    175.11,    408.40,    242.36,    815.10,    331.71,   1265.12,    184.73,    700.70,    347.18,    162.97
197109,    180.02,    449.15,    256.72,    799.09,    352.62,   1245.31,    195.73,    721.35,    336.98,    173.93
197110,    179.45,    448.19,    255.59,    785.40,    346.93,   1246.43,    197.00,    725.67,    330.59,    172.81
197111,    171.50,    427.49,    240.39,    748.28,    331.81,   1224.72,    189.99,    707.07,    338.23,    165.35
197112,    170.29,    426.44,    237.43,    744.47,    337.99,   1215.14,    189.91,    709.33,    332.23,    164.24
197201,    188.45,    451.98,    262.33,    809.61,    377.71,   1301.27,    209.07,    764.77,    357.72,    177.28
197202,    192.89,    466.17,    270.44,    809.75,    409.21,   1313.44,    209.75,    784.02,    355.29,    183.36
197203,    202.02,    470.80,    283.49,    824.30,    417.86,   1301.64,    221.17,    838.02,    344.40,    187.75
197204,    202.41,    490.08,    290.70,    783.81,    424.43,   1293.86,    225.38,    841.43,    342.41,    192.58
197205,    206.13,    487.06,    296.61,    785.60,    427.62,   1280.26,    223.92,    850.37,    331.58,    196.23
197206,    206.41,    479.12,    301.68,    806.96,    444.49,   1281.04,    227.80,    877.95,    328.76,    195.76
197207,    196.65,    455.07,    291.82,    775.52,    426.98,   1287.44,    210.74,    790.93,    327.86,    185.93
197208,    193.69,    448.21,    293.27,    766.17,    431.09,   1297.15,    206.08,    815.22,    326.70,    181.10
197209,    192.97,    462.69,    299.54,    854.90,    442.07,   1348.76,    205.33,    822.05,    344.06,    187.25
197210,    188.04,    460.44,    296.04,    852.35,    436.73,   1403.07,    204.88,    818.11,    343.27,    183.97
197211,    187.88,    448.66,    299.67,    876.81,    426.41,   1435.39,    206.48,    830.16,    364.95,    186.40
197212,    200.21,    479.71,    312.11,    925.70,    435.87,   1521.00,    219.06,    823.58,    386.13,    195.53
197301,    201.93,    490.92,    315.11,    934.76,    446.57,   1540.22,    224.26,    854.02,    380.21,    194.04
197302,    193.71,    457.53,    303.80,    978.81,    456.66,   1507.51,    214.89,    843.57,    362.66,    179.74
197303,    185.18,    427.90,    296.29,    910.38,    441.62,   1423.02,    200.64,    835.64,    353.14,    169.10
197304,    182.80,    418.74,    295.34,    937.67,    438.36,   1426.40,    189.81,    841.83,    344.26,    168.57
197305,    172.78,    396.56,    283.28,    935.65,    413.07,   1438.95,    174.65,    795.02,    340.84,    155.93
197306,    168.61,    376.69,    279.12,    896.25,    403.07,   1410.52,    170.95,    801.88,    339.70,    147.90
197307,    106.80,    242.26,    187.52,    590.20,    186.47,    932.47,     92.56,    426.98,    279.83,     74.27
197308,    115.73,    261.90,    200.70,    597.87,    197.01,    929.52,    103.59,    456.14,    272.03,     81.76
197309,    112.09,    249.82,    197.65,    571.33,    190.42,    882.19,     99.32,    432.88,    264.27,     80.11
197310,    118.60,    270.16,    207.14,    623.66,    186.68,    947.87,    107.56,    436.23,    284.12,     86.21
197311,    116.65,    263.69,    210.05,    661.50,    197.56,    895.34,    104.29,    444.05,    272.96,     86.48
197312,    101.37,    217.05,    180.16,    622.40,    176.31,    818.12,     85.16,    417.88,    239.38,     75.58
197401,     99.91,    209.71,    183.16,    675.88,    169.39,    852.63,     84.70,    404.80,    246.30,     77.69
197402,    102.33,    223.09,    183.93,    623.59,    172.75,    869.65,     90.56,    394.27,    256.20,     78.67
197403,    102.23,    218.59,    183.12,    613.64,    173.10,    918.85,     91.16,    388.31,    255.01,     79.70
197404,    100.62,    218.92,    181.97,    600.69,    169.53,    873.67,     88.53,    395.82,    244.53,     76.81
197405,     97.85,    210.30,    179.37,    561.60,    164.60,    827.29,     87.30,    395.85,    214.43,     72.18
197406,     95.36,    212.53,    174.65,    514.93,    158.05,    803.50,     88.60,    394.12,    201.93,     66.32
197407,     94.68,    213.33,    173.83,    479.35,    152.26,    815.04,     87.73,    376.02,    189.67,     64.16
197408,     85.45,    190.51,    161.62,    481.17,    141.72,    752.81,     76.66,    325.07,    189.91,     60.08
197409,     77.12,    178.76,    144.48,    435.33,    134.71,    757.06,     66.72,    297.45,    171.45,     53.71
197410,     67.64,    158.42,    126.04,    400.37,    112.96,    726.50,     58.84,    251.11,    167.85,     48.54
197411,     78.38,    166.85,    146.08,    483.48,    130.23,    805.33,     64.75,    325.16,    190.23,     58.49
197412,     74.99,    157.99,    137.04,    472.42,    123.84,    768.62,     60.77,    319.88,    188.01,     56.97
197501,     74.84,    150.90,    130.99,    478.69,    117.76,    777.37,     59.18,    316.15,    185.04,     54.50
197502,     88.89,    182.87,    149.94,    510.39,    136.38,    863.57,     74.38,    316.02,    218.67,     64.24
197503,     92.27,    190.12,    161.49,    519.77,    154.23,    896.28,     78.22,    365.32,    218.59,     66.02
197504,     98.65,    203.54,    169.96,    507.12,    155.60,    885.18,     86.64,    369.67,    215.39,     68.75
197505,    101.47,    212.28,    185.95,    541.71,    164.60,    876.71,     88.75,    371.86,    210.60,     70.94
197506,    106.75,    218.66,    191.26,    602.65,    174.97,    917.16,     92.68,    404.30,    226.53,     75.03
197507,    117.70,    243.14,    198.09,    597.02,    183.22,    947.37,     99.97,    383.32,    279.10,     80.03
197508,    111.67,    240.54,    186.94,    569.29,    166.77,    907.51,     92.37,    337.00,    264.23,     75.11
197509,    107.71,    230.68,    184.74,    560.93,    161.19,    863.13,     92.01,    326.35,    258.59,     71.09
197510,    104.91,    224.42,    173.69,    553.84,    159.68,    848.76,     88.84,    309.38,    255.15,     66.58
197511,    116.23,    243.77,    183.41,    546.74,    173.50,    906.54,     98.30,    342.09,    270.30,     69.16
